movieID,title,genres,imdbID,director,cast,runtime,language,rating_imdb,country
1,Toy Story (1995),Animation|Children's|Comedy,114709,John Lasseter,Tom Hanks|Tim Allen|Don Rickles|Jim Varney|Wallace Shawn,81,English,8.3,United States
2,Jumanji (1995),Adventure|Children's|Fantasy,113497,Joe Johnston,Robin Williams|Jonathan Hyde|Kirsten Dunst|Bradley Pierce|Bonnie Hunt,104,English|French,7.0,United States
3,Grumpier Old Men (1995),Comedy|Romance,113228,Howard Deutch,Walter Matthau|Jack Lemmon|Sophia Loren|Ann-Margret|Burgess Meredith,101,English|Italian|German,6.7,United States
4,Waiting to Exhale (1995),Comedy|Drama,114885,Forest Whitaker,Whitney Houston|Angela Bassett|Loretta Devine|Lela Rochon|Gregory Hines,124,English,5.9,United States
5,Father of the Bride Part II (1995),Comedy,113041,Charles Shyer,Steve Martin|Diane Keaton|Martin Short|Kimberly Williams-Paisley|George Newbern,106,English,6.0,United States
6,Heat (1995),Action|Crime|Thriller,113277,Michael Mann,Al Pacino|Robert De Niro|Val Kilmer|Jon Voight|Tom Sizemore,170,English|Spanish,8.2,United States
7,Sabrina (1995),Comedy|Romance,114319,,,,,,
8,Tom and Huck (1995),Adventure|Children's,112302,Peter Hewitt,Jonathan Taylor Thomas|Brad Renfro|Eric Schweig|Charles Rocket|Amy Wright,97,English,5.5,United States
9,Sudden Death (1995),Action,114576,Peter Hyams,Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry|Whittni Wright|Ross Malinger,111,English,5.8,United States
10,GoldenEye (1995),Action|Adventure|Thriller,113189,Martin Campbell,Pierce Brosnan|Sean Bean|Izabella Scorupco|Famke Janssen|Joe Don Baker,130,English|Russian|Spanish,7.2,United Kingdom|United States
11,"American President, The (1995)",Comedy|Drama|Romance,112346,Rob Reiner,Michael Douglas|Annette Bening|Martin Sheen|Michael J. Fox|Anna Deavere Smith,114,English|French|Spanish,6.8,United States
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,Mel Brooks,Leslie Nielsen|Peter MacNicol|Steven Weber|Amy Yasbeck|Lysette Anthony,88,English|German,5.9,France|United States
13,Balto (1995),Animation|Children's,112453,,,,,,
14,Nixon (1995),Drama,113987,,,,,,
15,Cutthroat Island (1995),Action|Adventure|Romance,112760,,,,,,
16,Casino (1995),Drama|Thriller,112641,Martin Scorsese,Robert De Niro|Sharon Stone|Joe Pesci|James Woods|Don Rickles,178,English,8.2,United States|France
17,Sense and Sensibility (1995),Drama|Romance,114388,Ang Lee,James Fleet|Tom Wilkinson|Harriet Walter|Kate Winslet|Emma Thompson,136,English|French,7.6,United States|United Kingdom
18,Four Rooms (1995),Thriller,113101,Allison Anders|Alexandre Rockwell|Robert Rodriguez,Sammi Davis|Amanda De Cadenet|Valeria Golino|Madonna|Ione Skye,98,English,6.8,United States
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,Steve Oedekerk,Jim Carrey|Ian McNeice|Simon Callow|Maynard Eziashi|Bob Gunton,90,English,6.4,United States
20,Money Train (1995),Action,113845,Joseph Ruben,Wesley Snipes|Woody Harrelson|Jennifer Lopez|Robert Blake|Chris Cooper,110,English,5.7,United States
21,Get Shorty (1995),Action|Comedy|Drama,113161,Barry Sonnenfeld,John Travolta|Gene Hackman|Rene Russo|Danny DeVito|Dennis Farina,105,English,6.9,United States
22,Copycat (1995),Crime|Drama|Thriller,112722,Jon Amiel,Sigourney Weaver|Holly Hunter|Dermot Mulroney|William McNamara|Harry Connick Jr.,123,English,6.6,United States
23,Assassins (1995),Thriller,112401,Richard Donner,Sylvester Stallone|Antonio Banderas|Julianne Moore|Anatoli Davydov|Muse Watson,132,English|Dutch|Spanish,6.3,France|United States
24,Powder (1995),Drama|Sci-Fi,114168,Victor Salva,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen|Jeff Goldblum|Brandon Smith,111,English,6.6,United States
